"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This Test verifies that the upper menu buttons are displayed","161","Test 02: Verify Upper Menu Button","test_cases","Thu Dec 26 15:50:08 IST 2024","passed","Thu Dec 26 15:50:08 IST 2024","TestWeb","test_web","",""
"This Test verifies add New User to Users List","2299","Test 03: Verify_New_User","test_cases","Thu Dec 26 15:50:13 IST 2024","passed","Thu Dec 26 15:50:15 IST 2024","TestWeb","test_web","",""
"This Test verifies add New User to Users List","2727","Test 03: Verify_New_User","","Thu Dec 19 12:04:56 IST 2024","broken","Thu Dec 19 12:04:59 IST 2024","","","",""
"This Test Delete User And Checks Expected User Count","1929","Test 05: Delete User","test_cases","Thu Dec 26 15:50:26 IST 2024","passed","Thu Dec 26 15:50:28 IST 2024","TestWeb","test_web","",""
"This Test Verifies Search Users From CSV And Checks Expected User Count","1093","Test 04: Search Users From CSV","test_cases","Thu Dec 26 15:50:19 IST 2024","passed","Thu Dec 26 15:50:20 IST 2024","TestWeb","test_web","",""
"This Test Verifies Search Users From CSV And Checks Expected User Count","3654","Test 04: Search Users From CSV","test_cases","Thu Dec 26 15:50:21 IST 2024","passed","Thu Dec 26 15:50:24 IST 2024","TestWeb","test_web","",""
"This Test verifies add New User to Users List","2781","Test 03: Verify_New_User","","Thu Dec 19 12:05:58 IST 2024","broken","Thu Dec 19 12:06:01 IST 2024","","","",""
"This test verifies visually the users table.","0","Test 06: Visual Testing","test_cases","Thu Dec 26 15:50:29 IST 2024","skipped","Thu Dec 26 15:50:29 IST 2024","TestWeb","test_web","",""
"This Test verifies a successful login to Grafana","3778","Test 01: Verify Login to Grafana","test_cases","Thu Dec 26 15:50:00 IST 2024","passed","Thu Dec 26 15:50:04 IST 2024","TestWeb","test_web","",""
"This Test Verifies Search Users From CSV And Checks Expected User Count","1277","Test 04: Search Users From CSV","test_cases","Thu Dec 26 15:50:16 IST 2024","passed","Thu Dec 26 15:50:17 IST 2024","TestWeb","test_web","",""
"This Test verifies add New User to Users List","2885","Test 03: Verify_New_User","","Thu Dec 19 12:04:14 IST 2024","broken","Thu Dec 19 12:04:17 IST 2024","","","",""
"This Test verifies add New User to Users List","2236","Test 03: Verify_New_User","","Thu Dec 19 12:07:14 IST 2024","broken","Thu Dec 19 12:07:16 IST 2024","","","",""
"This Test Verifies Search Users From CSV And Checks Expected User Count","2126","Test 04: Search Users From CSV","","Thu Dec 26 15:49:20 IST 2024","failed","Thu Dec 26 15:49:22 IST 2024","","","",""
